FREQ-MHZ	DB[S11]	MAG[Z1]		3.00E+08	83.8227 	0.3	4.022
1.37	-13.475	76.832		2.06E+09	35.0756 	2.06 	29.502
1.38	-12.969	78.977		2.07E+09	32.3081 	2.07 	28.796
1.39	-12.512	80.965		2.08E+09	30.1565 	2.08 	28.16
1.4	-12.099	82.755		2.10E+09	28.2690 	2.10 	27.592
1.41	-11.723	84.304		2.11E+09	26.2204 	2.11 	27.09
1.42	-11.381	85.576		2.12E+09	24.5769 	2.12 	26.655
1.43	-11.069	86.539		2.14E+09	22.2367 	2.14 	26.284
1.44	-10.785	87.17		2.15E+09	20.2460 	2.15 	25.977
1.45	-10.524	87.454		2.16E+09	18.6254 	2.16 	25.733
1.46	-10.286	87.388		2.18E+09	17.6335 	2.18 	25.548
1.47	-10.069	86.98		2.19E+09	17.1550 	2.19 	25.424
1.48	-9.87	86.245		2.20E+09	17.2344 	2.20 	25.357
1.49	-9.688	85.209		2.22E+09	17.6734 	2.22 	25.347
1.5	-9.522	83.903		2.23E+09	18.3892 	2.23 	25.391
1.51	-9.371	82.361		2.24E+09	19.3183 	2.24 	25.489
1.52	-9.234	80.62		2.26E+09	20.3601 	2.26 	25.638
1.53	-9.109	78.717		2.27E+09	21.5045 	2.27 	25.837
1.54	-8.997	76.687		2.28E+09	23.0658 	2.29 	26.084
1.55	-8.895	74.563		2.30E+09	25.1496 	2.30 	26.379
1.56	-8.805	72.373		2.31E+09	27.9656 	2.31 	26.719
1.57	-8.724	70.144		2.33E+09	31.1414 	2.33 	27.103
1.58	-8.654	67.896		2.34E+09	34.3454 	2.34 	27.531
1.59	-8.592	65.649		2.35E+09	37.2211 	2.35 	28
1.6	-8.539	63.417		2.37E+09	39.6907 	2.37 	28.51
1.61	-8.494	61.212		2.38E+09	42.1659 	2.38 	29.06
1.62	-8.457	59.044		2.39E+09	45.2224 	2.39 	29.65
1.63	-8.428	56.921		2.41E+09	49.2866 	2.41 	30.278
1.64	-8.406	54.848		2.42E+09	54.2780 	2.42 	30.944
1.65	-8.392	52.829		2.43E+09	59.9268 	2.43 	31.649
1.66	-8.384	50.868		2.45E+09	65.4260 	2.45 	32.391
1.67	-8.383	48.967		2.46E+09	70.1374 	2.46 	33.171
1.68	-8.389	47.128		2.47E+09	74.1638 	2.47 	33.988
1.69	-8.401	45.351		2.49E+09	78.1189 	2.49 	34.844
1.7	-8.419	43.638		2.50E+09	82.9577 	2.50 	35.738
1.71	-8.444	41.99		2.51E+09	89.3137 	2.51 	36.671
1.72	-8.474	40.407		2.53E+09	96.9478 	2.53 	37.643
1.73	-8.51	38.89		2.54E+09	104.7893 	2.54 	38.656
1.74	-8.552	37.44		2.55E+09	113.4184 	2.56 	39.708
1.75	-8.599	36.059		2.57E+09	118.3030 	2.57 	40.803
1.76	-8.652	34.749		2.58E+09	121.1740 	2.58 	41.939
1.77	-8.71	33.511		2.60E+09	122.3339 	2.60 	43.119
